Station1,Station2,Distance_km,Time_min
NEW DELHI (Yellow & Airport Line),SHIVAJI STADIUM,18.653,20.966666666666665
SHIVAJI STADIUM,DHAULA KUAN,7.006,8.15
DHAULA KUAN,DELHI AEROCITY,7.001,7.266666666666667
DELHI AEROCITY,AIRPORT (T-3),5.841,11.85
AIRPORT (T-3),DWARKA SECTOR - 21,5.84,14.933333333333334
DWARKA SECTOR - 21,YASHOBHOOMI DWARKA SECTOR - 25,1.85,9.516666666666667
SHAHEED STHAL,HINDON RIVER,1.121,6.633333333333334
HINDON RIVER,ARTHALA,1.544,6.883333333333334
ARTHALA,MOHAN NAGAR,1.022,6.866666666666666
MOHAN NAGAR,SHYAM PARK,1.56,7.616666666666666
SHYAM PARK,MAJOR MOHIT SHARMA RAJENDRA NAGAR,1.305,4.35
MAJOR MOHIT SHARMA RAJENDRA NAGAR,RAJ BAGH,1.198,4.166666666666667
RAJ BAGH,SHAHEED NAGAR,1.334,4.15
SHAHEED NAGAR,DILSHAD GARDEN,1.26,4.533333333333333
DILSHAD GARDEN,JHILMIL,1.013,5.766666666666667
JHILMIL,MANSAROVAR PARK,1.257,5.933333333333334
MANSAROVAR PARK,SHAHDARA,1.302,7.4
SHAHDARA,WELCOME,1.459,7.25
WELCOME,SEELAMPUR,1.635,11.466666666666667
SEELAMPUR,SHASTRI PARK,2.206,11.483333333333333
SHASTRI PARK,KASHMERE GATE,2.516,7.966666666666667
KASHMERE GATE,TIS HAZARI,1.208,6.85
TIS HAZARI,PULBANGASH,1.204,8.35
PULBANGASH,PRATAP NAGAR,1.197,9.233333333333333
PRATAP NAGAR,SHASTRI NAGAR,2.005,8.166666666666666
SHASTRI NAGAR,INDERLOK,1.496,6.833333333333333
INDERLOK,KANHAIYA NAGAR,1.287,7.4
KANHAIYA NAGAR,KESHAV PURAM,0.827,11.733333333333333
KESHAV PURAM,NETAJI SUBHASH PLACE,1.894,8.816666666666666
NETAJI SUBHASH PLACE,KOHAT ENCLAVE,1.599,8.183333333333334
KOHAT ENCLAVE,PITAMPURA,1.0,14.083333333333334
PITAMPURA,ROHINI EAST,1.134,9.05
ROHINI EAST,ROHINI WEST,1.741,10.8
ROHINI WEST,RITHALA,1.308,8.016666666666667
SAMAYPUR BADLI,"ROHINI SECTOR - 18, 19",0.925,12.433333333333334
"ROHINI SECTOR - 18, 19",HAIDERPUR BADLI MOR,2.347,13.0
HAIDERPUR BADLI MOR,JAHANGIRPURI,2.438,12.266666666666667
JAHANGIRPURI,ADARSH NAGAR,1.765,11.05
ADARSH NAGAR,AZADPUR,1.825,9.766666666666667
AZADPUR,MODEL TOWN,1.662,8.6
MODEL TOWN,GURU TEG BAHADUR NAGAR,1.562,8.366666666666667
GURU TEG BAHADUR NAGAR,VISHWAVIDYALAYA,1.101,7.066666666666666
VISHWAVIDYALAYA,VIDHAN SABHA,1.612,9.166666666666666
VIDHAN SABHA,CIVIL LINES,1.467,6.5
CIVIL LINES,KASHMERE GATE,1.175,2.1666666666666665
KASHMERE GATE,CHANDNI CHOWK,1.277,6.5
CHANDNI CHOWK,CHAWRI BAZAR,1.512,9.166666666666666
CHAWRI BAZAR,NEW DELHI (Yellow & Airport Line),21.487,32.266666666666666
NEW DELHI (Yellow & Airport Line),RAJIV CHOWK,19.624,34.21666666666667
RAJIV CHOWK,PATEL CHOWK,1.504,9.283333333333333
PATEL CHOWK,CENTRAL SECRETARIAT,1.126,7.233333333333333
CENTRAL SECRETARIAT,UDYOG BHAWAN,0.486,6.766666666666667
UDYOG BHAWAN,LOK KALYAN MARG,1.621,7.533333333333333
LOK KALYAN MARG,JOR BAGH,1.529,6.85
JOR BAGH,DILLI HAAT - INA,1.722,8.983333333333333
DILLI HAAT - INA,AIIMS,1.313,9.916666666666666
AIIMS,GREEN PARK,1.206,7.85
GREEN PARK,HAUZ KHAS,1.996,7.783333333333333
HAUZ KHAS,MALVIYA NAGAR,2.202,11.15
MALVIYA NAGAR,SAKET,1.52,10.983333333333333
SAKET,QUTAB MINAR,2.118,8.0
QUTAB MINAR,CHHATARPUR,1.421,4.366666666666666
CHHATARPUR,SULTANPUR,1.804,6.8
SULTANPUR,GHITORNI,1.698,10.283333333333333
GHITORNI,ARJAN GARH,3.024,10.433333333333334
ARJAN GARH,GURU DRONACHARYA,2.658,6.833333333333333
GURU DRONACHARYA,SIKANDERPUR,0.929,2.1
SIKANDERPUR,M.G. ROAD,1.314,2.283333333333333
M.G. ROAD,IFFCO CHOWK,1.635,6.4
IFFCO CHOWK,MILLENNIUM CITY CENTRE GURUGRAM,1.75,6.5
DWARKA SECTOR - 21,DWARKA SECTOR - 8,3.393,28.033333333333335
DWARKA SECTOR - 8,DWARKA SECTOR - 9,1.963,21.766666666666666
DWARKA SECTOR - 9,DWARKA SECTOR - 10,1.219,6.45
DWARKA SECTOR - 10,DWARKA SECTOR - 11,1.176,6.683333333333334
DWARKA SECTOR - 11,DWARKA SECTOR - 12,1.304,6.816666666666666
DWARKA SECTOR - 12,DWARKA SECTOR - 13,1.112,6.516666666666667
DWARKA SECTOR - 13,DWARKA SECTOR - 14,1.097,6.133333333333334
DWARKA SECTOR - 14,DWARKA,1.712,6.916666666666667
DWARKA,DWARKA MOR,1.647,7.216666666666667
DWARKA MOR,NAWADA,1.405,7.333333333333333
NAWADA,UTTAM NAGAR WEST,1.258,6.883333333333334
UTTAM NAGAR WEST,UTTAM NAGAR EAST,1.186,6.466666666666667
UTTAM NAGAR EAST,JANAKPURI WEST,1.709,10.366666666666667
JANAKPURI WEST,JANAKPURI EAST,1.349,10.233333333333333
JANAKPURI EAST,TILAK NAGAR,1.196,4.933333333333334
TILAK NAGAR,SUBHASH NAGAR,0.977,3.8
SUBHASH NAGAR,TAGORE GARDEN,1.043,6.333333333333333
TAGORE GARDEN,RAJOURI GARDEN,1.315,7.233333333333333
RAJOURI GARDEN,RAMESH NAGAR,1.138,6.466666666666667
RAMESH NAGAR,MOTI NAGAR,1.433,7.516666666666667
MOTI NAGAR,KIRTI NAGAR,1.042,5.183333333333334
KIRTI NAGAR,SHADIPUR,0.98,5.116666666666666
SHADIPUR,PATEL NAGAR,1.53,7.766666666666667
PATEL NAGAR,RAJENDRA PLACE,1.133,6.533333333333333
RAJENDRA PLACE,KAROL BAGH,1.161,6.333333333333333
KAROL BAGH,JHANDEWALAN,1.272,6.166666666666667
JHANDEWALAN,RAMAKRISHNA ASHRAM MARG,1.197,6.883333333333334
RAMAKRISHNA ASHRAM MARG,RAJIV CHOWK,1.744,9.633333333333333
RAJIV CHOWK,BARAKHAMBA ROAD,0.928,8.95
BARAKHAMBA ROAD,MANDI HOUSE,1.319,7.25
MANDI HOUSE,SUPREME COURT,1.043,6.733333333333333
SUPREME COURT,INDRAPRASTHA,1.113,8.6
INDRAPRASTHA,YAMUNA BANK,2.221,10.583333333333334
YAMUNA BANK,AKSHARDHAM,1.604,4.85
AKSHARDHAM,MAYUR VIHAR -I,2.027,8.133333333333333
MAYUR VIHAR -I,MAYUR VIHAR EXTENSION,1.547,8.45
