Station_Name,Latitude,Longitude
SHAHEED STHAL,28.670621,77.415453
HINDON RIVER,28.67341499999999,77.40637
ARTHALA,28.676927,77.391773
MOHAN NAGAR,28.67848,77.383933
SHYAM PARK,28.6782,77.37024
MAJOR MOHIT SHARMA RAJENDRA NAGAR,28.67762,77.35828
RAJ BAGH,28.67702999999999,77.34658
SHAHEED NAGAR,28.676632,77.333759
DILSHAD GARDEN,28.6758978,77.3215165
JHILMIL,28.67576,77.312426
MANSAROVAR PARK,28.6754,77.30098
SHAHDARA,28.67345,77.28988
WELCOME,28.6717615,77.27765889999999
SEELAMPUR,28.6698,77.26680999999999
SHASTRI PARK,28.6683013,77.2502654
KASHMERE GATE,28.66747,77.22824
TIS HAZARI,28.66719,77.21665999999999
PULBANGASH,28.6664,77.20737
PRATAP NAGAR,28.666615,77.19888259999999
SHASTRI NAGAR,28.6700467,77.1818562
INDERLOK,28.673571,77.170296
KANHAIYA NAGAR,28.68237,77.16481
KESHAV PURAM,28.6888267,77.16167589999999
NETAJI SUBHASH PLACE,28.69605,77.15259
KOHAT ENCLAVE,28.69799,77.14063999999999
PITAMPURA,28.70311,77.13247
ROHINI EAST,28.707667,77.125943
ROHINI WEST,28.714869,77.115484
RITHALA,28.72077,77.10716
SAMAYPUR BADLI,28.744638,77.13829299999999
"ROHINI SECTOR - 18, 19",28.73838,77.13986
HAIDERPUR BADLI MOR,28.7300015,77.1491765
JAHANGIRPURI,28.72586,77.16279
ADARSH NAGAR,28.71645,77.17058
AZADPUR,28.70702,77.18052
MODEL TOWN,28.7028569,77.1937134
GURU TEG BAHADUR NAGAR,28.698384,77.20588
VISHWAVIDYALAYA,28.69519,77.21450999999999
VIDHAN SABHA,28.6872142,77.2217283
CIVIL LINES,28.67734,77.22480999999999
KASHMERE GATE,28.66747,77.22824
CHANDNI CHOWK,28.6588265,77.2303565
CHAWRI BAZAR,28.6488,77.2263
NEW DELHI (Yellow & Airport Line),28.554150014656507,77.08717903571493
RAJIV CHOWK,28.632986,77.219374
PATEL CHOWK,28.6233506,77.2145072
CENTRAL SECRETARIAT,28.6151511,77.21226349999999
UDYOG BHAWAN,28.61071,77.21188
LOK KALYAN MARG,28.5976575,77.21117730000002
JOR BAGH,28.5858902,77.2125106
DILLI HAAT - INA,28.5744494,77.2096224
AIIMS,28.5678,77.20776
GREEN PARK,28.5598225,77.2068305
HAUZ KHAS,28.5439504,77.2062395
MALVIYA NAGAR,28.52899,77.20499
SAKET,28.52113,77.20218
QUTAB MINAR,28.51302,77.18639999999999
CHHATARPUR,28.5067936,77.17502569999999
SULTANPUR,28.4991525,77.1615377
GHITORNI,28.493814,77.14917539999999
ARJAN GARH,28.48088,77.12585
GURU DRONACHARYA,28.4819493,77.10225179999999
SIKANDERPUR,28.48131,77.09312
M.G. ROAD,28.47957,77.08006
IFFCO CHOWK,28.47224,77.0724
MILLENNIUM CITY CENTRE GURUGRAM,28.4592,77.07248
DWARKA SECTOR - 21,28.5522057,77.0583048
DWARKA SECTOR - 8,28.5656779,77.06710489999999
DWARKA SECTOR - 9,28.57428,77.06528
DWARKA SECTOR - 10,28.5811243,77.0575085
DWARKA SECTOR - 11,28.5864967,77.0494739
DWARKA SECTOR - 12,28.59231,77.04063
DWARKA SECTOR - 13,28.5972,77.03332999999999
DWARKA SECTOR - 14,28.60222,77.02593999999999
DWARKA,28.61492,77.02271999999999
DWARKA MOR,28.6192938,77.0333266
NAWADA,28.62026,77.04507
UTTAM NAGAR WEST,28.6217542,77.0558111
UTTAM NAGAR EAST,28.6248053,77.0653064
JANAKPURI WEST,28.62947,77.07777
JANAKPURI EAST,28.63306,77.08672
TILAK NAGAR,28.636568,77.09648
